Training start time (UTC): 1970-01-01 02:00:00
IR,RED,Ax,Ay,Az
103015,88509,15664,-2132,1940
103006,88467,16280,-2896,2184
103000,88489,16216,-2736,2432
103004,88472,15416,-2232,2232
103008,88521,14584,-1560,1980
103040,88492,13724,-1312,1900
103082,88551,13784,-1432,1876
103066,88485,14256,-1320,1944
103102,88563,15524,-1876,2448
103012,88492,17880,-3416,3152
103020,88507,18732,-4052,4076
102900,88417,18104,-3448,4600
102874,88370,16856,-2556,3584
102776,88289,16188,-1792,2080
102699,88254,15864,-1200,1952
102597,88182,15704,-704,2764
102591,88168,15548,-572,3144
102590,88153,15632,-612,3240
102536,88095,16576,-1036,3900
102517,88115,18948,-2388,4052
102436,88021,19208,-3416,3768
102435,88015,18716,-3508,2644
102352,87974,18044,-2976,2380
102376,87985,17772,-1968,1636
102330,87977,17536,-1812,900
102385,87998,17352,-2508,1144
102381,87991,17404,-2896,848
102400,87993,17932,-3128,40
102361,87990,18348,-3364,-496
102375,87989,18168,-3448,-296
102349,87944,17708,-3052,-900
102324,87943,17300,-2088,-1572
102282,87897,16816,-1904,-1676
102294,87936,16712,-1600,-2712
102296,87904,18012,-2052,-2692
102333,87966,18084,-3500,-2368
102331,87934,17432,-4220,-2912
102413,88047,16140,-4328,-3404
102393,88001,15132,-3312,-3916
102490,88110,14276,-2260,-4508
102488,88112,13324,-1364,-4876
102616,88202,12380,-936,-4612
102648,88225,13272,-716,-3120
102653,88174,16592,-1780,-3404
102501,88050,19068,-3456,-4352
102392,87978,18384,-4084,-3224
102374,87984,16352,-2704,-2168
102303,87918,15996,-908,-2624
102322,87927,14796,736,-4120
102268,87877,14472,860,-5240
102314,87898,13296,336,-4360
102282,87888,12796,16,-4048
102299,87901,15364,-216,-4580
102190,87809,16872,-1368,-3780
102145,87749,17796,-2860,-3880
102030,87693,17812,-3004,-3672
102004,87682,16624,-2380,-2936
101945,87641,16156,-1116,-3228
101910,87640,15596,48,-3484
101863,87597,15616,256,-4036
101873,87616,15148,-388,-3908
101900,87629,15268,-1248,-3572
101949,87679,15364,-2100,-3112
101945,87671,15820,-2288,-2992
102012,87709,16420,-2224,-2844
101968,87673,16584,-1896,-2852
102026,87772,16604,-1524,-2916
101985,87726,16220,-1324,-2748
102051,87791,16220,-1228,-2764
102028,87772,16364,-1600,-3216
102113,87827,16028,-1664,-2924
102132,87873,15952,-1832,-3304
102218,87923,15788,-1860,-3780
102236,87936,15984,-2388,-4020
102279,87919,15504,-2840,-3916
102300,87963,15276,-2736,-4280
102283,87922,15232,-2628,-4500
102286,87955,15084,-2588,-4792
102237,87893,15064,-2484,-5304
102244,87874,15840,-2864,-6012
102151,87843,15968,-3340,-6176
102159,87817,15812,-3964,-6352
102102,87791,15480,-4296,-6716
102123,87800,14536,-3888,-6760
102101,87800,14268,-3672,-7224
102122,87793,14244,-3516,-7436
102080,87770,14008,-3604,-7684
102076,87776,13776,-3796,-8108
102063,87767,13868,-4120,-8512
102070,87789,13740,-4608,-8468
102073,87741,13504,-5220,-8784
102088,87778,13364,-5500,-9064
102061,87732,12956,-5620,-9276
102084,87781,12864,-5380,-9484
102028,87718,12696,-4884,-9820
102072,87805,12840,-4592,-10280
102032,87762,12648,-4268,-10888
102123,87837,12812,-3624,-11092
102102,87823,13208,-3104,-11204
102186,87892,13368,-2992,-11256
102213,87908,13584,-3080,-10976
102263,87945,13880,-3280,-11096
102284,87979,14136,-3804,-10808
102307,87953,14196,-4284,-10476
102354,88013,14344,-5000,-10164
102375,88009,14316,-5464,-10008
102467,88073,14376,-5592,-9968
102484,88082,14700,-5700,-10016
102565,88148,15072,-5720,-9920
102567,88136,15112,-5700,-9644
102621,88165,15316,-5592,-9880
102606,88149,15508,-5548,-10024
102655,88145,16064,-5936,-10148
102606,88132,15536,-6008,-9740
102588,88127,15020,-5616,-9784
102584,88104,14796,-5316,-10064
102570,88108,14136,-4908,-9960
102541,88071,13480,-4824,-9764
102531,88070,13028,-4636,-9412
102483,88041,12948,-4568,-9572
102483,88038,12704,-4464,-9340
102426,87963,12444,-4072,-9148
102421,87993,12196,-3352,-9612
102331,87932,12368,-2860,-10372
102342,87976,12080,-3064,-10568
102270,87910,11780,-3376,-10556
102336,87964,11768,-3752,-10896
102312,87920,12072,-4740,-10964
102359,87982,12392,-5336,-11124
102368,87992,13120,-5824,-10972
102413,88009,13648,-5704,-10808
102433,88034,14476,-5348,-10608
102454,88033,14768,-5104,-10500
102493,88074,14892,-4904,-10368
102482,88034,14936,-4920,-10300
102541,88087,15064,-5392,-10212
102510,88065,14848,-5772,-10240
102559,88111,14804,-6060,-10100
102547,88092,14888,-6392,-9288
102578,88125,15264,-6680,-8932
102562,88104,15136,-6728,-8872
102586,88109,14964,-6444,-8896
102577,88132,14868,-6256,-9360
102581,88124,14512,-5756,-9696
102609,88123,14276,-5312,-10036
102621,88147,13964,-4904,-10188
102630,88148,13644,-4664,-9964
102643,88164,13432,-4460,-10440
102630,88124,13332,-4204,-10520
102630,88150,13464,-4328,-10696
102586,88054,13304,-4376,-10648
102606,88144,12940,-4220,-10172
102571,88102,12764,-3944,-10456
102614,88163,12724,-3824,-10548
102538,88079,12512,-3712,-10448
102604,88159,12536,-3568,-10384
102570,88113,12616,-3468,-10420
102592,88129,12200,-3440,-10492
102555,88137,11964,-3360,-10240
102589,88118,12032,-3180,-10308
102601,88157,12484,-3012,-10516
102567,88117,12828,-2896,-10376
102606,88159,13100,-2912,-10336
102590,88123,13584,-3052,-10540
102652,88142,13884,-3236,-10356
102628,88135,14192,-3596,-10308
102691,88194,14420,-3900,-10096
102684,88179,14648,-4068,-9936
102717,88223,15300,-3956,-9776
102710,88210,15664,-3920,-10232
102748,88227,15812,-4052,-10724
102770,88246,15472,-4280,-10780
102798,88271,15080,-4408,-10564
102831,88288,14988,-4396,-10780
102844,88294,14804,-4796,-10648
102862,88299,14748,-5148,-10464
102897,88312,14688,-5304,-10372
102891,88293,14344,-5020,-10240
102918,88337,13832,-4588,-9712
102873,88303,13292,-3980,-9220
102936,88353,12848,-3336,-8768
102887,88316,12600,-3104,-8604
102925,88393,12704,-2952,-8596
102858,88313,12344,-2296,-8440
102945,88391,12384,-1328,-8912
102914,88309,12232,-100,-9540
102937,88367,11532,416,-9440
102968,88389,10944,96,-8232
103012,88396,10832,-568,-7444
103035,88427,11228,-1488,-7000
103018,88406,11640,-2192,-7060
103052,88443,11608,-2480,-7052
103031,88398,12064,-2288,-7408
103070,88423,12660,-996,-8208
103015,88380,13656,724,-9376
103041,88369,14752,1192,-10952
102959,88341,15480,584,-10708
102981,88361,15716,-1568,-9220
102945,88328,16276,-3596,-8356
102953,88324,16608,-5588,-7648
102915,88297,16040,-6472,-7296
102920,88305,15132,-6652,-7104
102908,88301,14612,-5980,-7608
102897,88298,14292,-4888,-8556
102878,88269,13960,-3752,-9092
102894,88278,14220,-2992,-9420
102861,88245,14752,-2756,-9356
102878,88268,15088,-2632,-8364
102819,88203,15060,-2832,-8032
102826,88242,15564,-3596,-7684
102752,88198,15476,-4340,-7808
102788,88273,14948,-4484,-7976
102795,88221,14624,-4396,-8472
102785,88232,14252,-3900,-8760
102799,88215,14708,-3308,-9544
102807,88251,15068,-3352,-9124
102850,88268,15232,-3704,-8484
102875,88293,15696,-4276,-8144
102895,88314,15920,-5076,-7632
102909,88345,15620,-5452,-7036
102945,88343,14984,-5256,-6884
102950,88349,14952,-4580,-7696
102948,88353,14792,-3716,-8568
102950,88351,14092,-3100,-9044
102946,88345,13296,-2772,-9072
102981,88360,12376,-3372,-8876
102981,88376,11720,-4420,-8136
103009,88398,12080,-5244,-7984
102990,88369,12824,-5416,-8596
102973,88321,13872,-5296,-9644
102929,88317,14672,-4648,-10268
102891,88277,15036,-4568,-10676
102865,88268,14936,-4612,-10156
102857,88257,14164,-4384,-9776
102850,88252,13236,-4320,-9416
102841,88259,12200,-3844,-8860
102857,88281,12084,-3280,-8828
102854,88273,12872,-2596,-9444
102858,88281,13764,-2392,-9580
102857,88284,13924,-2572,-9164
102863,88296,13960,-2532,-9196
102887,88305,13580,-2880,-8856
102917,88332,12620,-3124,-8156
102961,88357,11960,-3560,-7688
102995,88389,11912,-3860,-7216
103023,88407,12616,-3984,-7456
103034,88384,13260,-3696,-7504
103033,88360,13816,-3300,-7760
103024,88362,13756,-2704,-7968
103003,88329,13352,-2712,-8088
102992,88316,12840,-2456,-7612
102971,88281,12068,-2416,-7676
102943,88283,12228,-2244,-8684
102906,88264,12340,-2284,-9220
102888,88203,12472,-2596,-10020
102865,88196,12932,-2692,-10384
102869,88192,13672,-3072,-11108
102844,88188,14400,-3988,-11304
102866,88178,14184,-5284,-10640
102865,88162,13864,-6536,-9800
102883,88186,13568,-7220,-9280
102882,88187,13408,-7508,-8732
102887,88190,13252,-7164,-8220
102898,88190,14424,-6576,-8800
102874,88173,15880,-6036,-9580
102871,88199,16364,-5860,-9716
102850,88235,16408,-5624,-9440
102862,88263,16336,-5068,-8948
102869,88291,15096,-4520,-8532
102882,88300,13600,-4200,-7928
102884,88290,12456,-4072,-7524
102898,88312,12084,-4244,-7140
102909,88331,12168,-4656,-6896
102896,88365,12520,-4792,-6760
102896,88344,13268,-4920,-7020
102874,88313,13808,-4776,-7312
102862,88309,14292,-4440,-8032
102844,88302,14756,-3964,-8540
102833,88303,15076,-3404,-9068
102820,88258,15024,-2920,-9672
102819,88243,14988,-2716,-10304
102813,88260,14708,-2892,-10368
102829,88261,14520,-3720,-10128
102844,88289,14508,-4740,-9784
102857,88295,14160,-5696,-9448
102869,88274,13904,-6204,-9100
102870,88296,13524,-6656,-8972
102882,88282,13280,-6468,-8772
102903,88276,12648,-5984,-8760
102881,88241,12020,-5332,-8828
102863,88227,11844,-4492,-9000
102855,88233,11440,-3520,-8956
102847,88213,11264,-2472,-9492
102836,88222,11180,-1700,-9628
102806,88201,11388,-1844,-9452
102796,88172,12432,-2604,-8912
102756,88138,13484,-3484,-8392
102737,88118,14172,-4064,-7720
102708,88077,14796,-4424,-7748
102690,88051,14816,-4552,-8252
102645,88034,14632,-4556,-8936
102650,88032,14592,-4020,-8972
102642,88029,14660,-3484,-8896
102650,88045,14964,-2996,-8752
102659,88040,15080,-2732,-8376
102662,88041,15132,-2804,-8248
102667,88055,15332,-2820,-9028
102679,88057,15012,-3388,-9168
102686,88055,14468,-4080,-9188
102677,88056,14336,-4660,-9124
102663,88040,14220,-5220,-9004
102636,88026,14176,-5328,-9088
102622,88023,13904,-4712,-8732
102626,88010,13820,-4088,-8912
102609,87984,14092,-3516,-9220
102611,87994,13820,-3352,-9148
102629,88006,14460,-4424,-9304
102653,88021,14992,-6508,-9388
102713,88041,15028,-7056,-8800
102769,88069,15052,-6720,-8892
102821,88098,15356,-6344,-9172
102868,88141,15384,-4844,-7192
102919,88171,17168,-3560,-5828
102988,88211,19716,-4640,-5672
103047,88241,20752,-8632,-6476
103135,88272,20600,-11848,-7600
103179,88327,19672,-11568,-8928
103259,88428,18936,-8528,-7796
103371,88525,19476,-4312,-5752
103495,88671,19984,-1400,-3744
103679,88846,20088,-408,-1916
103869,88976,20224,-1884,-548
104017,89073,20012,-4520,284
104076,89107,20064,-6652,616
104072,89098,19784,-6984,1640
104022,89056,18776,-5208,1368
103936,89010,18012,-2092,-960
103886,88972,17280,-1024,-2260
103861,88949,17272,-1888,-1124
103877,88933,16872,-3328,480
103872,88932,16532,-3740,504
103866,88936,15676,-3260,-108
103837,88898,15540,-2804,-288
103782,88855,15392,-2756,40
103715,88799,16488,-3452,-124
103620,88748,16020,-3748,576
103573,88710,15416,-3004,468
103529,88659,14188,-2348,336
103492,88643,13208,-1932,212
103456,88620,12496,-2304,-284
103448,88598,12404,-3532,308
103435,88596,12604,-4064,1420
103391,88556,13072,-3328,2516
103371,88537,13500,-2280,2832
103322,88513,13972,-1848,3048
103324,88530,14244,-2204,3428
103285,88495,14312,-2696,3348
103268,88486,13928,-2432,3008
103235,88470,13316,-1788,2816
103222,88483,13192,-1332,3252
103215,88490,13404,-988,4312
103206,88501,13920,-836,5884
103226,88529,14208,-852,6576
103214,88521,15572,-1276,6752
103189,88517,15968,-1948,6992
103154,88487,15944,-3104,6536
103100,88470,15132,-3376,6144
103081,88438,14608,-2820,5376
103055,88413,14204,-1872,5076
103043,88435,13904,-1464,5640
103058,88402,13680,-1368,6788
103050,88381,15216,-1668,6580
103027,88341,15740,-1596,6176
102974,88311,16292,-2216,5896
102938,88293,16556,-3508,5416
102924,88262,16284,-4444,4988
102931,88257,15340,-4304,4100
102901,88221,14412,-3852,3700
102893,88220,13772,-3364,3444
102889,88210,13688,-3480,3464
102888,88207,13556,-3844,3596
102896,88225,13916,-4784,3492
102899,88224,14268,-5620,4092
102888,88184,14496,-5808,4216
102816,88196,14588,-5256,4072
102787,88189,13812,-4176,4072
102802,88204,13168,-3176,3528
102800,88190,12684,-2432,3160
102818,88199,12732,-2196,3760
102821,88213,13780,-2496,3548
102831,88233,14040,-2708,3588
102825,88201,14184,-2588,3340
102797,88183,14836,-2392,3052
102779,88167,14764,-2168,2884
102770,88155,14352,-1520,2336
102771,88137,14012,-1344,1696
102770,88155,14208,-1512,1012
102780,88174,14412,-1732,1040
102806,88197,14644,-1592,640
102811,88202,17168,-2648,-300
102814,88178,18228,-4512,556
102832,88184,17460,-4544,888
102813,88193,16684,-3192,-288
102820,88202,15800,-1784,-1568
102875,88231,14540,-572,-2448
102896,88238,13924,396,-3052
